Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Senior Customer Service,PT Higienis Indonesia,Jakarta Raya,10500000
Senior Customer Service,PT Higienis Indonesia,Jakarta Raya,9221095
Management Trainee Store Kalimantan,PT Richeese Kuliner Indonesia,Banjarmasin Selatan,5409910
Business Development Executive,PT Arupa Cloud Nusantara,Jakarta Selatan,10500000
Content Creator,PT. Cahaya Ayu Abadi,Kecamatan Tangerang,6000000
CUSTOMER SERVICE EXPORT,PT Evergreen Shipping Agency Indonesia,Jakarta Selatan,5699571
Administrasi Media & Production,PT Djojonegoro C-1000,Jakarta Selatan,6007823
Administrasi,PT Perdana Bangun Pusaka Tbk,Jakarta Pusat,5150000
ADMINISTRATION STAFF,PT Yamaha Indonesia Motor Mfg,Jakarta Timur,5753293
Video Editor,Craft Creative,Jakarta Raya,3000000
Logistic Admin - Jakarta,PT. Gree Electric Appliances Indonesia,Jakarta Utara,4244717
ADMIN STAFF,PT.Sinamyang indonesia,Jakarta Raya,6000000
STAF PURCHASING,PT Furindo Sakti Sejahtera,Cengkareng,5500000
Accounting Staff,PT Sinarindo Wiranusa Elektrik,Jakarta Raya,7000000
Project Officer,PT Mata Utama Indonesia,Jakarta Selatan,8350000
Service Penjualan Counter,PT. Mustika Citra Rasa,Bekasi,5550000
Cashier,CV. TOGA MANDIRI ANUGRAH PERKASA,Medan,2453743
Management Trainee - Operation,PT Cilia Prisma Utama Makmur,Boyolali,4831444
Quality Control Staff (Microbiological),PT Selatox Bio Pharma,Cikarang,4670838
Administration Staff,"PT Indomobil Sukses Internasional, Tbk",Jakarta Timur,5753293
"Admin Import, Purchasing & Stock",PT AGRI TUMBUH MAKMUR,Jakarta Utara,4403176
Customer Service Domestic - Freight Forwarding,PT SHOKA CHANDRA ARMADA,Jakarta Pusat,6238033
HRD,PT Handal Guna Sarana,Jakarta Selatan,6208842
Welder / Operator Welding,PT Dinamis Mandiri Indonesia,Tangerang,5500000
General Affairs Staff,PT. Samyang Foods Indonesia,Jakarta Selatan,8500000
Content Creator,PT Bintang Mahameru Utama,Jakarta Utara,9500000
kasir minimarket,PT Usaha Mitra Sejahtera,Tangerang Selatan,4600000
Admin Collection / Fakturis,PT.Dewa Tunggal Abadi,Jakarta Timur,4300000
Channel Relation Executive (CRE) atau Sales,"PT Tera Data Indonusa, Tbk",Malang,4421008
STAFF PACKAGING DEVELOPMENT TRIAL,PT Eka Jaya Internasional,Cikupa,6362539
Admin Produksi,PT Capital Makmur Sejahtera,Tangerang,5250000
ADMIN STAFF (Penempatan Medan),PT. Sardana IndahBerlian Motor,Medan,4229672
Management Trainee (Logistic),PT Handal Guna Sarana,Bogor,5768949
Customer Care Officer / Manager,Soundlife Hearing Center,Jakarta Selatan,5300000
